"Name","Country","Years.active","Proven.victims","Possible.victims","Notes","Proven.victims.","Miscellaneous.information","Proven victims","Proven victims*","victims"
"Gerald and Charlene Gallego","United States","1978 to 1980",NA,"",NA,"10","Killed ten victims in Sacramento, California. Gerald Gallego died of cancer before his death sentence could be carried out. Charlene Gallego was released July 1997.",0,10,10
"Viña del Mar psychopaths","Chile","1980 to 1981",NA,"",NA,"10","Jorge Sagredo and Carlos Topp committed ten murders and four rapes from 5 August 1980 to November 1, 1981 in the city of Viña del Mar. Executed by firing squad on January 29, 1985, they became the last people executed in Chile.",0,10,10
"National Socialist Underground","Germany","2000 to 2007",NA,"",NA,"0010 !10","Neo-Nazi group who killed ten ethnic Turks in the Bosphorus serial murders from 2000 to 2007. Most victims were small business owners killed in broad daylight with a gunshot to the face. Two of the suspects committed suicide and a third, Beate Zschäpe, was apprehended in November 2011.",0,NA,NA
"The Hernández Brothers Sect","Mexico","1963",NA,"",NA,"8","Originally a scam intended to extort money and sexual favors from the poor, illiterate inhabitants of the small village of Yerba Buena, who were promised favors from ""Inca gods"" in the mountains, the cult came to include Aztec-inspired human sacrifices after prostitute Magdalena Solís took over as high priestess. 15 people were sentenced to 30 years in prison for their participation in the ritual murders of seven villagers and one police officer.",0,8,8
"Rudolfo Infante and Anna Villeda","Mexico","1991",NA,"",NA,"8","Responsible for 8 murders.[112]",0,8,8
"Dale Hausner and Samuel Dieteman","United States","2006",NA,"",NA,"8","Known as the ""Serial Shooter"". Responsible for 8 murders in random drive-by shootings in 2006 in Phoenix, Arizona.",0,8,8
"Futoshi Matsunaga and Junko Ogata","Japan","1993 to 2002",NA,"9",NA,"7","Under Matsunaga's leadership, who had a long history of conning (and possibly murdering) women, the couple abducted, tortured and disposed of the bodies of six relatives of Ogata and one neighbor in their condominium of Kitakyushu. Matsunaga was sentenced to death and Ogata to life in prison in 2007.",0,7,7
"Christopher Worrell and James Miller","Australia","1976 to 1977",NA,"",NA,"7","Known as the ""Truro Murderers""; convicted of killing seven victims in South Australia.",0,7,7
"Auto Shankar's Gang","India","1988 to 1989",NA,"9",NA,"6","Nine men who collaborated to abduct and murder at least 6 teenage girls in Chennai; their bodies were cremated and thrown into the sea or buried under residential homes. Leader Auto Shankar and two accomplices were sentenced to death by hanging in 1991, his brother Auto Mohan to three consecutive life sentences in prison and five other collaborators to six months in prison.",0,6,6
"Gert van Rooyen and Joey Haarhof","South Africa","1988 to 1989",NA,"8",NA,"6","Their victims were never found; the pair shot dead a police officer and then committed suicide when faced with arrest after the escape of their last kidnap victim.",0,6,6
"Hermann Duft and Hans Wilhelm Bassenauer","Greece","1969",NA,"",NA,"6","German serial killers who murdered six persons in Greece, within a short period in 1969, were captured, tried, sentenced to death and executed.",0,6,6
"David Alan Gore and Fred Waterfield","United States","1981 to 1983",NA,"",NA,"6","Cousins connected to the murders of six females. Gore was executed in 2012 and Waterfield was sentenced to life imprisonment.",0,6,6
"Artyom Alexandrovich Anoufriev and Nikita Vakhtangovich Lytkin","Russia","2010 to 2011",NA,"",NA,"6","Teenaged thrill-killers of random people.",0,6,6
"Ray and Faye Copeland","United States","1986 to 1989",NA,"12",NA,"5","Oldest couple ever sentenced to death in the United States at the ages of 75 and 69; convicted of killing 5 men; modus operandi was to hire unskilled drifters as farm hands and later kill them.[113]",0,5,5
"Ian Brady and Myra Hindley","United Kingdom","1963 to 1965",NA,"5+",NA,"5","The ""Moors Murderers"". Abducted children in northern England. They were found guilty of two and three murders respectively.",0,5,5
"The Skin Hunters","Poland","2002 and earlier",NA,"Unknown",NA,"5","Hospital crew that killed patients in order to get bribes from nearby funeral homes. Two doctors and two paramedics were convicted for the murder of five patients, but the investigation is still going on with over 40 remaining suspects.",0,5,5
"Gwendolyn Graham and Catherine May Wood","United States","1987",NA,"",NA,"5","Nurses who killed five elderly women in Grand Rapids, Michigan.",0,5,5
"Lawrence Bittaker and Roy Norris","United States","1979",NA,"",NA,"5","Known as ""The Tool Box Killers"". Kidnapped, tortured, raped and murdered five girls in 1979.",0,5,5
"James Gregory Marlow and Cynthia Coffman","United States","1986",NA,"",NA,"5","Killed four women and one man in 1986.",0,5,5
"Chijon family","South Korea","1993",NA,"",NA,"5","South Korean gang of cannibals that was sentenced to death for killing five people.",0,5,5
"Loren Herzog and Wesley Shermantine","United States","1984 to 1999",NA,"19+",NA,"4","Known as the ""Speed Freak Killers""; California duo initially convicted of 4 murders from 1984 to 1999.",0,4,4
"David and Catherine Birnie","Australia","1986",NA,"4–8",NA,"4","Australian couple who raped and murdered four women in their home and attempted to murder a fifth in Perth in 1986. Both were sentenced to four consecutive life sentences without the possibility of parole; David Birnie hanged himself in prison on October 7, 2005.",0,4,4
"Raymond Fernandez and Martha Beck","United States","1947 to 1949",NA,"20",NA,"3","Known as the ""Lonely Hearts Killers"", Fernandez and Beck extorted women Fernandez met through lonely hearts advertisements. Both were arrested in Michigan in 1949 for the murders of a woman and her 2-year-old daughter, but Michigan authorities waived prosecution and extradited the pair to New York to face trial for a murder that occurred there because New York had the death penalty while Michigan did not. They were convicted of that murder and executed on March 8, 1951.",0,3,3
"Michael Bear Carson and Suzan Carson","United States","1981 to 1983",NA,"3+",NA,"3","Nomadic hippie killers involved in the counter-culture movement; sentenced to life imprisonment for three San Francisco Bay Area murders in 1983.",0,3,3
"Joseph and Michael Kallinger","United States","1974 to 1975",NA,"",NA,"3","Joseph Kallinger murdered three people and tortured four families with his 13-year-old son Michael in New Jersey.",0,3,3
"John Duffy and David Mulcahy","United Kingdom","1985 to 1986",NA,"",NA,"3","Raped dozens of women in train stations (beginning in 1982) before switching to murder.",0,3,3
"Beasts of Satan","Italy","1998 to 2004",NA,"",NA,"3","The members of this group committed three notorious ritual murders over six years.",0,3,3
"Silvia Merez Cult","Mexico","2009 to 2012",NA,"",NA,"3","Ritually murdered three people in sacrifices to Santa Muerte.",0,3,3
"Raya and Sakina and their husbands","Egypt","1919[114]-1920",NA,"Unknown",NA,"2","Gang of four that rented a house for women and killed them to rob their money and jewellery. Raya and Sakina were the first women executed in the modern state of Egypt, in 1921.",0,2,2
"Javed Iqbal","Pakistan","1996 to 1999",NA,"100+",NA,"74+","He raped, strangled and put acid in several children. Arrested, he claimed 100 victims. He was found guilty of 100 killings but 26 children were found alive after he hanged himself in prison.[115]",0,NA,NA
"Bruno Lüdke","Germany","1928 to 1943",NA,"86",NA,"51","Mentally disabled, Lüdke was arrested after being discovered with a corpse. Police declared him insane and imprisoned him in a psychiatric hospital, where he was experimented on before being executed in 1944. The case remains controversial, as the only evidence tying him to the crimes was a confession that may have been physically coerced.",0,51,51
"Fernando Hernández Leyva","Mexico","1982? to 1999",NA,"100–137",NA,"33","Confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted and claimed that he had been beaten by the police and his family threatened in order to force him to confess. Accused of as many as 137 murders in five southern Mexican states, convicted of 33 to 50 years in prison. Tried to kill himself in prison unsuccessfully.[116]",0,33,33
"Vera Renczi","Romania","1920 to 1930",NA,"35",NA,"32","Convicted of killing 35 men through arsenic poisoning but confessed to only killing 32 victims.[117]",0,32,32
"Gerald Stano","United States","1969 to 1980",NA,"41",NA,"22+","Confessed to killing 41 women in mostly Florida and New Jersey areas. Some controversy surrounds the case as he is believed by some to have been a serial confessor.",0,NA,NA
"""Highway of Tears"" Killer","Canada","1969 to 2011",NA,"43",NA,"18","All the victims were young women and were last seen on Highway 16 in British Columbia between Prince George and Prince Rupert. If they were all victims of the same person, it would be one of the most proficient serial killers in Canada and one with the longest careers in the world. Some of the murders have been linked to American criminal Bobby Jack Fowler, although he was in prison at the time others were committed.",0,18,18
"The Stoneman","India","1985 to 1989",NA,"",NA,"12–25","12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989; in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). It is ignored if all were committed by the same person(s) or some were copycat crimes, and no one was ever charged with any of the murders.",0,NA,NA
"David Parker Ray","United States","1950 to 1999",NA,"60",NA,"14","Torture-murderer possibly aided by numerous accomplices, including his girlfriend. Targeted victims in the Truth or Consequences, New Mexico, area, convicted of killing 14 victims and suspected of 60 murders, even though no body was ever found. Known as the ""Toybox Killer"" for the self-built mobile home he used as a house to rape, torture, and kill women.",0,14,14
"Henry Lee Lucas","United States","1960 to 1983",NA,"11–600+",NA,"11","Confessed to killing at least 600 people but later recanted and is suspected of lying about a majority of his murders. He originally offered a list of 77 women from 19 different states, as he confessed to more and more murders, the details became increasingly more bizarre. Some included dismemberment, necrophilia, even cannibalism. Lawmen linked the Lucas and Otis Toole to 81 murders alone. Convicted of 11 murders.[118] Detectives from 40 states came to visit Lucas, and an estimated 3,000 homicides were discussed in what is considered to be one of the greatest mockeries of the U.S. legal system when police officers cleared their books of unsolved murders.[119] The true number of murders committed by Lucas is unknown, but it is likely Lucas was not nearly as prolific a serial killer as he initially claimed to be, as most of his murder confessions were thoroughly discredited, and he himself claimed only one murder—that of his mother.[119][120][121] Probably responsible for the deaths of 40 people.[122]",0,11,11
"Charles Quansah","Ghana","1993 to 2001",NA,"34",NA,"8","Quansah, who had been in prison for rape twice, was held as a suspect in the deaths of 34 women across the country, including his girlfriend who was strangled in 2000, and eventually confessed to eight murders. He later denied the killings, claiming that the confessions had been extracted under torture, and that the police had also tried unsuccessfully to force him to implicate a number of politicians including former president Jerry Rawlings, his wife Nana Konadu Agyeman and an unidentified member of president John Kufuor's administration.[123][124]",0,8,8
"Redhead murders","United States","1978 to 1992",NA,"",NA,"8+","Series of unsolved homicides believed to have been committed by an unidentified serial killer in Tennessee, Arkansas, Kentucky, Mississippi and Pennsylvania.",0,NA,NA
"Jeff Davis 8","United States","2005 to 2009",NA,"",NA,"8","The bodies of eight women, all of whom had an involvement with drugs or prostitution, were found in swamps and canals surrounding Jennings, Louisiana. Originally thought to be a serial killer, but multiple suspects may be involved.",0,8,8
"Ottis Toole","United States","1980 to 1983",NA,"8–125",NA,"7","Initially convicted of three counts of murder, later pleading guilty to four more murders before dying in prison. A sometime accomplice of convicted serial killer Henry Lee Lucas, Toole admitted to—and retracted multiple times—over a hundred counts of murder, rape, arson and cannibalism, and was the suspect in several other unsolved murders. On December 16, 2008, police announced that they had identified Toole as the likely murderer of Adam Walsh, and would be closing the case as a result.",0,7,7
"The Beer Man","India","2006 to 2007",NA,"",NA,"7","Purported unidentified serial killer that operated in Mumbai and left a beer bottle next to each body as his signature, hence the nickname. A suspect was charged with three of the murders and convicted of one in 2008, but the sentence was overturned by the High Court in 2009 because the evidence presented was deemed inadmissible.",0,7,7
"José Pedro Guedes","Portugal","1992 to 1993",NA,"3–21+",NA,"3","Confessed and was arrested for the ""Lisbon Ripper"" murders in 2011, but could not be prosecuted because the Portuguese statute of limitations had already run out. Also suspected of similar murders in Lisbon and Aveiro, Portugal, as well as Germany, the Netherlands, Belgium, Denmark, Czech Republic and the 1988 New Bedford Highway Killings in Massachusetts, USA.",0,3,3
"""Bowraville Murders"" Killer","Australia","1990 to 1991",NA,"",NA,"3","Proposed serial killer responsible of the murders of three Aboriginal children in the same area, all bludgeoned to death. Thomas Jay Hart was tried for one of the murders and acquitted, and held as a suspect in another for which he did not face prosecution.",0,3,3
"Joe Ball","United States","1937 to 1938",NA,"20",NA,"2","Bootlegger and barman known as the ""Butcher of Elmendorf"", the ""Bluebeard of South Texas"", and ""the Alligator Man"" because of the alligator pit he had in the back of his bar and where he entertained clients by throwing live animals to the reptiles. Ball killed for sure two barmaids whose bodies were dug and later discovered at the beach, but he shot himself fatally in the chest when police came to question him and was never arrested or interrogated. Yellow press and pulp magazines later exaggerated his exploits, claiming that he had killed up to 20 women and fed them to the alligators, but this was never proven and caused some of Ball's relatives to sue such publications. Police investigated about a dozen women that had worked at Ball's place and were missing at the time of his suicide; some were found alive in San Antonio, but others couldn't be accounted for.[125]",0,2,2
"""Texas Killing Fields"" Killers","United States","1970s to 2000s",NA,"30+",NA,"1","Since the early 1970s roughly 30 bodies have been extracted from the fields, mainly consisting of young girls. May have been the work of multiple killers. Convicted murderer Edward Harold Bell, 72 years old in November 2011, claimed in a letter to police in 1998 to have murdered 11 girls in Galveston County. Kevin Edison Smith was sentenced to life imprisonment for one of the murders in 2012.",0,1,1
"Abdul Latif Sharif","Mexico","1995",NA,"18–20",NA,"1","Egyptian chemist known as ""The Jackal of Ciudad Juárez"". After migrating to the United States in the 1970s, Sharif served 14 years in prison for several rapes but fled to Mexico when he was about to be deported to his home country. There, he was accused of up to 20 of the female homicides in Ciudad Juárez but was convicted of only one, to 30 years in prison, where he died of natural causes in 2006. As the high rate of female murders has continued to this day in Ciudad Juárez, it has been claimed that Sharif was used as a scapegoat by the Mexican police.",0,1,1
"Daisuke Mori","Japan","2000 and earlier",NA,"11+",NA,"1","Nurse that was sentenced to life imprisonment for one murder but suspected of killing at least ten others. He might have confessed to some of the murders in order to protect others.",0,1,1
"Lowell Amos","United States","1979? to 1994",NA,"4",NA,"1","Detroit businessman sentenced to life imprisonment in 1996 for the murder of his third wife. Suspected of, but never charged with the deaths of two previous wives and his mother, all of whom died under suspicious circumstances and left life insurance policies to Amos that, at least in one case, Amos himself had bought against the will of the insured.",0,1,1
"Bevan Spencer von Einem","Australia","1979? to 1983",NA,"3–10",NA,"1","Arrested for three and convicted of one of ""The Family Murders"", where four teenagers and one young adult, all male, were drugged, kidnapped, raped and mutilated for weeks before their bodies were abandoned in the country near Adelaide. Police believed that von Einem had several accomplices, none of whom were publicly identified or detained, and at the time of his trial it was widely reported that the murders had been committed by a group of 4 to 12 high-profile Australian men; von Einem himself claimed to be the victim of a conspiracy. He has also been considered a suspect in the disappearance of two girls near the Adelaide Oval in 1973 and the high-profile Beaumont children disappearance in 1966.",0,1,1
"John Bodkin Adams","United Kingdom","1946 to 1956",NA,"163",NA,"0","Acquitted in a highly unusual trial in 1957 of murder but later found guilty of fraud. Archive evidence shows that he was almost certainly a killer but that his prosecution was botched for political reasons.",0,0,0
"Smiley Face Killer","United States","1990s to 2000s",NA,"40+",NA,"0","Theoretical serial killer(s) thought by some sources to have drowned college-aged young men across the northern part of the country since 1997; most experts suggest that the deaths were accidental.",0,0,0
"Marie Besnard","France","1927 to 1949",NA,"13",NA,"0","Charged with the murders of 13 relatives with arsenic, all of whom had Besnard as their sole designated heir, but acquitted of all charges after three high profile trials that lasted a decade.",0,0,0
"Dr. X killings","United States","1966",NA,"9+",NA,"0","Suspicious deaths of nine people at Riverdell Hospital in Oradell, New Jersey. Mario Enrique Jascalevich was acquitted in 1978.",0,0,0
